Date,Month,mes,PaymentYear,PayrollTaxYear,TaxPeriod,TaxCode,TaxBasis,ReferencePayRateAnnual,ReferenceSal,SalaryAdj,WFHStipend,Relocation,Bonus,PensionSalarySacrifice,PensionBonusSacrifice,PreSacrificeEarnings,GrossPay,MedTaxable,DentalTaxable,TravelTaxable,TotalTaxableBenefits,PAYETaxableGrossCurrent,NIC,PAYE,Deductions,NetPay,TotalPensionSacrifice,TakeHomeRateVsGross,YTDTaxableGrossExclBenefits,YTDTaxableBenefit,YTDPAYETaxableGross,YTDNITaxableGross,YTDTotalTax,YTDTotalNI,YTDPension,YTDPensionBonus,YTDPensionMatch,SourceFile,SourcePage
2025-05-30,2025-05,5,2025,2025/26,2,1257L,Cumulative,100000,7307.69,0,0,13185.85,0,0,0,,20493.54,289.63,24.28,7.54,321.45,,577.37,6230.53,6807.9,13685.64,,,20493.54,321.45,20814.99,20493.54,6230.53,577.37,0,0,0,2025 paysp.pdf,8
2025-06-30,2025-06,6,2025,2025/26,3,1257L,Cumulative,100000,8333.33,0,374.15,0,0,0,0,,8707.48,338.83,28.4,8.82,376.05,,341.65,2585.67,2927.32,5780.16,,,29201.02,697.5,29898.52,29201.02,8816.2,919.02,0,0,0,2025 paysp.pdf,7
2025-07-31,2025-07,7,2025,2025/26,4,K216,Week 1/Month 1,100000,8333.33,0,0,0,0,0,0,,8333.33,338.83,28.4,8.82,376.05,,334.17,2927.66,3261.83,5071.5,,,37534.35,1073.55,38607.9,37534.35,11743.86,1253.19,0,0,0,2025 paysp.pdf,6
2025-08-29,2025-08,8,2025,2025/26,5,K216,Week 1/Month 1,100000,8333.33,0,0,0,0,0,0,,8333.33,338.83,28.4,8.82,376.05,,334.17,2927.66,3261.83,5071.5,,,45867.68,1449.6,47317.28,45867.68,14671.52,1587.36,0,0,0,2025 paysp.pdf,5
2025-09-30,2025-09,9,2025,2025/26,6,K138,Week 1/Month 1,100000,8333.33,0,0,0,0,0,0,,8333.33,338.83,28.4,8.82,376.05,,334.17,2901.66,3235.83,5097.5,,,54201.01,1825.65,56026.66,54201.01,17573.18,1921.53,0,0,0,2025 paysp.pdf,4
2025-10-31,2025-10,10,2025,2025/26,7,K138,Week 1/Month 1,100000,8333.33,0,0,0,0,0,0,,8333.33,338.83,28.4,8.82,376.05,,334.17,2901.66,3235.83,5097.5,,,62534.34,2201.7,64736.04,62534.34,20474.84,2255.7,0,0,0,2025 paysp.pdf,3
2025-11-28,2025-11,11,2025,2025/26,8,K138,Week 1/Month 1,100000,8333.33,0,0,0,0,0,0,,8333.33,217.23,18.2,6.18,241.61,,334.17,2847.66,3181.83,5151.5,,,70867.67,2443.31,73310.98,70867.67,23322.5,2589.87,0,0,0,2025 paysp.pdf,2
2025-12-31,2025-12,12,2025,2025/26,9,K138,Week 1/Month 1,100000,8333.33,0,0,0,0,-666.67,0,,7666.66,169.42,14.2,5.17,188.79,,320.83,2560.06,2880.89,4785.77,,,78534.33,2632.1,81166.43,78534.33,25882.56,2910.7,666.67,0,666.67,2025 paysp.pdf,1
2026-01-30,2026-01,1,2026,2025/26,10,K138,Week 1/Month 1,100000,8333.33,0,0,0,0,-666.67,0,,7666.66,169.42,14.2,5.17,188.79,,320.83,2560.06,2880.89,4785.77,,,86200.99,2820.89,89021.88,86200.99,28442.62,3231.53,1333.34,0,1333.34,2026 paysp.pdf,7
2026-02-27,2026-02,2,2026,2025/26,11,1007T,Cumulative,103500,8625,291.67,0,0,15000,-713.33,-15000,,8203.34,169.42,14.2,5.17,188.79,,331.57,-84.69,246.88,7956.46,,,94404.33,3009.68,97414.01,94404.33,28357.93,3563.1,2046.67,15000,2046.67,2026 paysp.pdf,6
2026-03-31,2026-03,3,2026,2025/26,12,1007T,Cumulative,103500,8625,0,0,0,0,-690,0,,7935,169.42,14.2,5.17,188.79,,326.2,2285.27,2611.47,5323.53,,,102339.33,3198.47,105537.8,102339.33,30643.2,3889.3,2736.67,15000,2736.67,2026 paysp.pdf,5
2026-04-30,2026-04,4,2026,2026/27,1,169T,Cumulative,103500,8625,0,0,0,0,-690,0,,7935,169.42,17.27,5.48,192.17,,326.2,2565.66,2891.86,5043.14,,,7935,192.17,8127.17,7935,2565.66,326.2,690,0,690,2026 paysp.pdf,4
2026-05-29,2026-05,5,2026,2026/27,2,1257L,Cumulative,103500,8625,0,0,0,0,-690,0,,7935,169.42,17.27,5.48,192.17,,326.2,1840.47,2166.67,5768.33,,,15870,384.34,16254.34,15870,4406.13,652.4,1380,0,1380,2026 paysp.pdf,3
2026-06-30,2026-06,6,2026,2026/27,3,1257L,Cumulative,103500,8625,0,0,0,0,-690,0,,7935,169.42,17.27,5.48,192.17,,326.2,2203.27,2529.47,5405.53,,,23805,576.51,24381.51,23805,6609.4,978.6,2070,0,2070,2026 paysp.pdf,2
2026-07-31,2026-07,7,2026,2026/27,4,1257L,Cumulative,103500,8625,0,0,0,0,-690,0,,7935,169.42,17.27,5.48,192.17,,326.2,2203.26,2529.46,5405.54,,,31740,768.68,32508.68,31740,8812.66,1304.8,2760,0,2760,2026 paysp.pdf,1
2026-08-31,2026-08,8,2026,2026/27,5,1257L,Cumulative,103500,8625,0,0,0,0,-690,0,,7935,169.42,17.27,5.48,192.17,,326.2,2203.26,2529.46,5405.54,,,31740,768.68,32508.68,31740,8812.66,1304.8,2760,0,2760,2026 paysp.pdf,1
