Date,Month,Description,Amount,Direction,Categoria,TxnType,Source,mes,year
2025-05-05,2025-05,"Card transaction of 40.32 GBP issued by Boots,Gracechurch St LONDON",-40.32,DEBIT,Farmácia,CARD,Wise,5,2025.0
2025-05-05,2025-05,Card transaction of 36.36 GBP issued by Sainsburys S/mkts LONDON  CORNH,-36.36,DEBIT,Mercado,CARD,Wise,5,2025.0
2025-05-06,2025-05,Card transaction of 16.39 GBP issued by Pret A Manger LONDON,-16.39,DEBIT,Restaurante,CARD,Wise,5,2025.0
2025-05-06,2025-05,Card transaction of 7.80 GBP issued by Tesco Stores 5380 LONDON,-7.8,DEBIT,Mercado,CARD,Wise,5,2025.0
2025-05-07,2025-05,Card transaction of 14.16 GBP issued by Amazon* Rg4su0r94 LONDON,-14.16,DEBIT,Amazon,CARD,Wise,5,2025.0
2025-05-07,2025-05,Card transaction of 8.60 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-8.6,DEBIT,Transporte,CARD,Wise,5,2025.0
2025-05-07,2025-05,Card transaction of 4.65 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-4.65,DEBIT,Transporte,CARD,Wise,5,2025.0
2025-05-08,2025-05,Sent money to Billing Better,-38.0,DEBIT,Transferência,TRANSFER,Wise,5,2025.0
2025-05-08,2025-05,Card transaction of 9.57 GBP issued by Amazon* Rv7ed2ij4 LONDON,-9.57,DEBIT,Amazon,CARD,Wise,5,2025.0
2025-05-08,2025-05,Card transaction of 7.60 GBP issued by Soleil Dry Cleaners - Na LIMEHOUSE,-7.6,DEBIT,Limpeza,CARD,Wise,5,2025.0
2025-05-09,2025-05,Card transaction of 6.40 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-6.4,DEBIT,Transporte,CARD,Wise,5,2025.0
2025-05-13,2025-05,Card transaction of 18.99 GBP issued by Amazon* Wd3o614f5 LONDON,-18.99,DEBIT,Amazon,CARD,Wise,5,2025.0
2025-05-13,2025-05,Card transaction of 16.14 GBP issued by Amazon* Ls6u07i55 LONDON,-16.14,DEBIT,Amazon,CARD,Wise,5,2025.0
2025-05-13,2025-05,Card transaction of 12.00 GBP issued by Zettle_*Yolk London,-12.0,DEBIT,Restaurante,CARD,Wise,5,2025.0
2025-05-13,2025-05,Card transaction of 12.00 GBP issued by Vodafone Limited FENCHURCH 602,-12.0,DEBIT,Celular,CARD,Wise,5,2025.0
2025-05-13,2025-05,"Card transaction of 7.85 GBP issued by Boots,Gracechurch St LONDON",-7.85,DEBIT,Farmácia,CARD,Wise,5,2025.0
2025-05-13,2025-05,Card transaction of 5.80 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-5.8,DEBIT,Transporte,CARD,Wise,5,2025.0
2025-05-13,2025-05,Card transaction of 5.35 GBP issued by Tesco Stores 5130 EASTCHEAP,-5.35,DEBIT,Mercado,CARD,Wise,5,2025.0
2025-05-13,2025-05,Card transaction of 1.80 GBP issued by Food Inn 24/7 London,-1.8,DEBIT,Mercado,CARD,Wise,5,2025.0
2025-05-14,2025-05,Card transaction of 18.49 GBP issued by Www.amazon.* 8c4lh8xu5 LONDON,-18.49,DEBIT,Amazon,CARD,Wise,5,2025.0
2025-05-14,2025-05,Card transaction of 5.99 GBP issued by Netflix.com Los Gatos,-5.99,DEBIT,Transporte,CARD,Wise,5,2025.0
2025-05-15,2025-05,Card transaction of 9.80 GBP issued by Tesco Stores 5130 EASTCHEAP,-9.8,DEBIT,Mercado,CARD,Wise,5,2025.0
2025-05-15,2025-05,Card transaction of 6.40 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-6.4,DEBIT,Transporte,CARD,Wise,5,2025.0
2025-05-15,2025-05,Card transaction of 3.00 GBP issued by Tesco Stores 5130 EASTCHEAP,-3.0,DEBIT,Mercado,CARD,Wise,5,2025.0
2025-05-16,2025-05,Sent money to HARLLA MARTINS D S L SIQUEIRA,-91.0,DEBIT,Transferência,TRANSFER,Wise,5,2025.0
2025-05-16,2025-05,Card transaction of 5.50 GBP issued by Tesco Stores 5130 EASTCHEAP,-5.5,DEBIT,Mercado,CARD,Wise,5,2025.0
2025-05-17,2025-05,Card transaction of 13.50 GBP issued by Design District Limite London,-13.5,DEBIT,Restaurante,CARD,Wise,5,2025.0
2025-05-17,2025-05,Card transaction of 5.80 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-5.8,DEBIT,Transporte,CARD,Wise,5,2025.0
2025-05-17,2025-05,Card transaction of 5.70 GBP issued by Tesco Stores 5130 EASTCHEAP,-5.7,DEBIT,Mercado,CARD,Wise,5,2025.0
2025-05-18,2025-05,Card transaction of 9.49 GBP issued by Chicken Hub LONDON,-9.49,DEBIT,Restaurante,CARD,Wise,5,2025.0
2025-05-18,2025-05,Card transaction of 2.20 GBP issued by Nyx*Puregym Leeds,-2.2,DEBIT,Academia,CARD,Wise,5,2025.0
2025-05-19,2025-05,Card transaction of 9.50 GBP issued by Tesco Stores 5736 LIMEHOUSE,-9.5,DEBIT,Mercado,CARD,Wise,5,2025.0
2025-05-19,2025-05,Card transaction of 7.80 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-7.8,DEBIT,Transporte,CARD,Wise,5,2025.0
2025-05-20,2025-05,Card transaction of 75.00 GBP issued by Doctap.co.uk ENGLAND,-75.0,DEBIT,Farmácia,CARD,Wise,5,2025.0
2025-05-20,2025-05,"Card transaction of 9.90 GBP issued by Boots,Gracechurch St LONDON",-9.9,DEBIT,Farmácia,CARD,Wise,5,2025.0
2025-05-20,2025-05,Card transaction of 9.00 GBP issued by Bilhana Lebanese Deli LONDON,-9.0,DEBIT,Restaurante,CARD,Wise,5,2025.0
2025-05-20,2025-05,Card transaction of 7.55 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-7.55,DEBIT,Transporte,CARD,Wise,5,2025.0
2025-05-21,2025-05,Card transaction of 24.95 GBP issued by Laundryheap 4749645 LONDON,-24.95,DEBIT,Limpeza,CARD,Wise,5,2025.0
2025-05-21,2025-05,"Card transaction of 19.80 GBP issued by Boots,Gracechurch St LONDON",-19.8,DEBIT,Farmácia,CARD,Wise,5,2025.0
2025-05-21,2025-05,Card transaction of 17.24 GBP issued by Tesco Stores 5130 EASTCHEAP,-17.24,DEBIT,Mercado,CARD,Wise,5,2025.0
2025-05-21,2025-05,Card transaction of 7.00 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-7.0,DEBIT,Transporte,CARD,Wise,5,2025.0
2025-05-21,2025-05,Card transaction of 5.80 GBP issued by Tesco Stores 5130 EASTCHEAP,-5.8,DEBIT,Mercado,CARD,Wise,5,2025.0
2025-05-21,2025-05,Card transaction of 2.49 GBP issued by Robert Dyas Gracechurch S LONDON,-2.49,DEBIT,Amazon,CARD,Wise,5,2025.0
2025-05-22,2025-05,Card transaction of 43.03 GBP issued by Amazon* 7v7i55o65 LONDON,-43.03,DEBIT,Amazon,CARD,Wise,5,2025.0
2025-05-22,2025-05,Card transaction of 32.00 GBP issued by Laundryheap 4749645 LONDON,-32.0,DEBIT,Limpeza,CARD,Wise,5,2025.0
2025-05-22,2025-05,Card transaction of 15.43 GBP issued by Uber   *Eats HELP.UBER.COM,-15.43,DEBIT,Restaurante,CARD,Wise,5,2025.0
2025-05-23,2025-05,Goodlord,-565.38,DEBIT,Aluguel,Card Payment,Revolut,5,2025.0
2025-05-23,2025-05,Sent money to HARLLA MARTINS D S L SIQUEIRA,-91.0,DEBIT,Transferência,TRANSFER,Wise,5,2025.0
2025-05-23,2025-05,Card transaction of 9.25 GBP issued by Tesco Stores 5130 EASTCHEAP,-9.25,DEBIT,Mercado,CARD,Wise,5,2025.0
2025-05-23,2025-05,Card transaction of 5.80 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-5.8,DEBIT,Transporte,CARD,Wise,5,2025.0
2025-05-24,2025-05,Card transaction of 18.90 GBP issued by Tesco Stores 5130 EASTCHEAP,-18.9,DEBIT,Mercado,CARD,Wise,5,2025.0
2025-05-24,2025-05,Card transaction of 13.99 GBP issued by Amazon* U86p81q05 LONDON,-13.99,DEBIT,Amazon,CARD,Wise,5,2025.0
2025-05-24,2025-05,Card transaction of 13.00 GBP issued by Sq *Crunch Soho London,-13.0,DEBIT,Restaurante,CARD,Wise,5,2025.0
2025-05-24,2025-05,Card transaction of 12.99 GBP issued by Waterstones Foyles - Char LONDON,-12.99,DEBIT,Amazon,CARD,Wise,5,2025.0
2025-05-24,2025-05,Card transaction of 5.60 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-5.6,DEBIT,Transporte,CARD,Wise,5,2025.0
2025-05-26,2025-05,Card transaction of 21.68 GBP issued by Uber   *Eats HELP.UBER.COM,-34.92,DEBIT,Restaurante,CARD,Wise,5,2025.0
2025-05-26,2025-05,Card transaction of 12.25 GBP issued by Tesco Stores 5130 EASTCHEAP,-12.25,DEBIT,Mercado,CARD,Wise,5,2025.0
2025-05-27,2025-05,Card transaction of 17.05 GBP issued by Uber   * Eats Pending London,-17.05,DEBIT,Restaurante,CARD,Wise,5,2025.0
